AGVH AGVD AGVA SCORE
2.09 3.31 3.65 1
3.79 3.44 2.01 1
1.52 4.06 6.89 1
5.44 3.63 1.69 1
2.06 3.35 3.71 3
1.34 4.92 9.98 1
2.31 3.32 3.17 2
1.58 3.8 6.31 4
6.98 4.05 1.51 1
1.35 4.79 9.88 1
2.82 3.33 2.51 1
1.62 3.79 6.02 2
2.24 3.19 3.45 2
1.89 3.42 4.37 6
1.64 3.7 5.94 1
2.21 3.2 3.53 2
1.16 7.83 16.0 5
1.88 3.42 4.45 1
2.21 3.21 3.52 2
2.12 3.32 3.59 1
1.17 7.47 15.75 1
2.27 3.22 3.35 1
8.63 4.39 1.42 1
1.44 4.41 7.67 3
1.75 3.56 5.08 4
2.13 3.22 3.69 1
1.75 3.61 4.99 3
1.45 4.53 6.93 4
1.26 5.54 12.55 3
2.58 3.18 2.85 1
1.32 5.37 9.38 3
2.47 3.31 2.92 3
1.56 3.97 6.27 4
2.15 3.21 3.67 1
2.14 3.35 3.5 1
2.13 3.3 3.6 1
2.41 3.43 2.9 1
1.41 4.53 8.09 2
1.5 4.31 6.32 2
2.39 3.35 2.9 2
1.2 7.0 12.83 2
1.36 4.91 8.47 4
2.86 3.4 2.43 2
1.67 3.68 5.49 3
1.91 3.53 4.02 1
1.92 3.48 4.14 4
1.29 5.33 10.46 3
2.43 3.17 3.1 2
2.02 3.52 3.65 3
2.29 3.38 3.12 3
4.07 3.55 1.91 2
1.29 5.5 11.21 1
1.36 4.98 8.6 2
1.14 8.38 18.25 4
2.01 3.1 4.25 2
1.21 6.67 12.67 1
1.15 8.17 15.92 2
1.48 4.25 7.04 3
1.26 5.79 11.92 1
1.35 4.97 9.06 1
1.22 6.29 14.42 2
1.67 3.72 5.58 1
1.47 4.29 7.46 4
1.85 3.75 4.19 2
2.47 3.17 3.05 1
1.86 3.47 4.44 3
2.28 3.15 3.43 1
1.3 5.29 10.92 2
1.84 3.48 4.63 4
1.3 5.45 11.42 4
4.38 3.7 1.82 2
5.35 3.9 1.65 2
1.23 6.17 13.72 3
2.6 3.27 2.8 2
1.38 5.0 7.81 1
1.46 4.29 7.52 1
1.98 3.39 4.06 4
2.14 3.28 3.65 1
2.11 3.32 3.7 2
1.44 4.53 7.25 1
2.52 3.12 3.01 2
1.68 3.88 5.25 2
1.67 3.93 5.22 1
2.18 3.38 3.43 1
1.93 3.46 4.21 2
1.62 3.82 5.85 3
1.48 4.36 7.08 3
2.19 3.38 3.36 1
1.62 3.76 6.06 8
2.47 3.22 3.01 1
1.62 3.83 5.87 1
1.93 3.58 4.02 2
5.93 4.24 1.55 1
2.36 3.23 3.15 2
1.28 5.67 11.58 3
1.17 7.21 17.83 1
3.75 3.49 2.03 1
1.92 3.61 4.06 1
2.55 3.22 2.87 1
1.32 5.43 9.53 1
1.44 4.42 7.52 2
3.51 3.35 2.13 1
1.24 6.04 13.83 2
1.84 3.57 4.44 1
1.39 4.83 8.18 1
1.84 3.51 4.49 1
4.27 3.5 1.89 2
1.71 3.83 4.99 1
1.31 5.42 9.84 3
2.32 3.3 3.19 1
2.18 3.35 3.42 1
2.31 3.38 3.18 1
1.45 4.29 7.76 1
1.76 3.62 4.98 2
1.8 3.62 4.68 1
1.41 4.65 8.3 3
1.53 4.34 6.17 1
6.62 4.07 1.55 1
2.08 3.34 3.7 2
3.96 3.42 1.98 1
2.36 3.27 3.18 1
2.35 3.32 3.13 2
1.45 4.4 7.42 3
4.95 3.54 1.77 1
1.18 6.96 17.08 2
2.18 3.26 3.53 1
1.82 3.62 4.48 3
1.45 4.29 7.56 2
1.3 5.46 10.83 3
2.43 3.27 3.04 1
2.44 3.33 2.95 3
1.5 4.22 6.81 1
1.72 3.71 5.09 2
1.29 5.58 10.88 1
1.33 5.25 9.29 2
1.38 4.73 8.27 2
1.75 3.57 5.0 1
2.81 3.32 2.55 1
1.9 3.46 4.22 2
1.7 3.81 5.17 3
3.23 3.29 2.3 2
1.24 6.0 13.05 1
2.89 3.27 2.54 2
4.62 3.57 1.81 2
2.2 3.31 3.39 1
1.21 6.42 15.58 2
3.45 3.37 2.19 1
2.22 3.25 3.43 1
2.04 3.31 3.9 1
1.47 4.38 7.58 3
1.6 3.97 5.72 1
1.74 3.62 5.08 3
1.67 3.83 5.28 2
1.35 5.04 9.17 2
1.66 3.76 5.52 2
2.21 3.22 3.49 2
1.27 5.74 12.33 5
3.18 3.35 2.28 1
1.29 5.46 11.0 1
2.31 3.1 3.44 2
1.91 3.64 4.05 1
1.33 5.1 9.51 1
1.29 5.53 10.67 2
2.5 3.16 2.99 2
2.07 3.24 3.86 1
1.3 5.38 10.83 5
3.92 3.42 2.0 1
1.37 4.8 9.56 2
1.96 3.39 4.21 1
1.93 3.38 4.27 1
3.26 3.19 2.36 1
1.56 4.18 6.17 2
3.02 3.4 2.38 1
2.79 3.07 2.8 1
1.7 3.62 5.49 1
1.36 4.94 9.06 2
1.25 6.17 12.13 2
2.49 3.22 2.98 2
1.74 3.65 4.95 1
1.39 4.77 8.22 3
7.17 4.55 1.44 1
1.82 3.6 4.52 2
2.37 3.12 3.26 1
1.84 3.53 4.46 3
1.91 3.6 4.1 3
1.3 5.29 9.75 3
1.44 4.26 7.58 2
1.56 4.09 5.85 1
1.83 3.5 4.43 1
1.85 3.62 4.18 3
1.28 5.39 11.75 1
2.61 3.18 2.79 1
2.32 3.35 3.09 1
1.3 5.13 10.42 2
1.91 3.38 4.26 2
2.47 3.19 3.0 1
5.05 3.95 1.67 1
1.53 3.96 6.93 2
2.62 3.33 2.76 2
1.42 4.67 8.29 2
2.0 3.38 4.08 1
1.73 3.74 5.05 1
2.15 3.37 3.46 2
3.22 3.24 2.33 1
1.28 5.78 11.17 2
1.29 5.58 11.42 1
3.58 3.33 2.15 3
3.99 3.38 2.01 1
2.68 3.25 2.71 1
1.93 3.56 4.04 3
1.39 4.93 8.36 1
3.88 3.28 2.06 1
2.27 3.22 3.33 2
2.22 3.35 3.32 1
1.35 4.98 9.31 1
1.93 3.52 4.03 1
2.57 3.31 2.79 2
2.81 3.31 2.56 3
1.22 6.84 13.08 6
2.96 3.41 2.42 1
1.76 3.61 4.92 5
1.77 3.74 4.63 2
3.98 3.4 2.0 3
1.39 4.82 8.13 3
1.35 5.04 9.46 2
2.22 3.4 3.26 1
1.6 4.06 5.58 4
1.56 4.18 5.93 2
1.78 3.82 4.49 2
3.36 3.45 2.16 5
   
1.99 3.33 3.82 2
1.65 3.87 5.64 1
1.94 3.48 4.11 2
2.11 3.38 3.67 3
1.46 4.56 7.51 1
1.86 3.5 4.42 1
1.21 6.97 13.25 2
2.03 3.42 3.82 3
3.42 3.23 2.23 1
1.3 5.46 10.96 2
3.91 3.42 2.01 2
1.96 3.39 4.28 2
2.38 3.33 3.04 2
2.71 3.22 2.74 1
1.88 3.53 4.29 1
2.22 3.37 3.32 2
1.72 3.74 5.06 2
2.41 3.37 3.03 2
1.97 3.51 3.9 1
1.53 4.07 6.85 1
1.21 6.55 13.83 3
2.08 3.28 3.82 2
2.52 3.25 2.9 1
4.0 3.61 1.94 3
1.83 3.43 4.74 2
1.24 6.38 12.63 5
2.02 3.55 3.7 3
1.34 5.14 9.18 2
1.33 5.3 9.33 4
2.02 3.28 4.03 1
2.59 3.32 2.77 4
1.44 4.44 7.71 1
2.23 3.33 3.32 1
3.84 3.58 1.98 1
2.55 3.28 2.87 3
1.28 5.75 11.25 1
2.58 3.27 2.82 2
1.5 4.18 6.93 4
1.55 4.11 6.12 2
1.42 4.5 7.84 2
1.85 3.6 4.28 1
1.34 4.8 10.48 2
2.48 3.3 2.92 1
3.69 3.36 2.07 1
1.41 4.66 8.22 1
1.57 4.0 6.14 4
6.43 4.2 1.53 1
1.58 4.02 6.02 3
1.72 3.75 5.07 4
1.57 4.18 5.93 2
3.08 3.22 2.42 2
1.47 4.37 7.27 1
1.27 5.67 12.08 2
5.1 3.75 1.7 2
2.12 3.32 3.55 2
5.57 4.0 1.61 2
3.27 3.3 2.3 1
2.54 3.22 2.88 1
1.3 5.42 10.42 1
3.09 3.35 2.34 1
1.31 5.22 10.88 2
3.99 3.37 1.98 3
2.41 3.4 2.96 1
1.93 3.67 3.82 1
1.21 6.51 13.92 3
3.5 3.42 2.1 4
3.13 3.19 2.37 2
1.96 3.29 4.2 1
1.42 4.44 7.67 3
1.42 4.61 7.83 2
2.03 3.4 3.75 2
2.18 3.25 3.49 1
3.34 3.29 2.22 1
1.28 5.62 11.0 1
1.54 3.92 6.93 1
3.06 3.31 2.36 1
2.43 3.17 3.03 2
2.74 3.1 2.75 1
3.8 3.4 2.04 2
3.02 3.15 2.48 1
1.98 3.37 4.04 2
2.02 3.3 3.97 2
1.9 3.46 4.33 3
1.38 4.81 8.51 4
2.54 3.27 2.86 1
1.73 3.52 5.37 3
1.37 4.83 9.08 3
2.38 3.2 3.15 1
2.05 3.33 3.75 3
2.06 3.38 3.68 1
2.6 3.25 2.78 2
1.69 3.61 5.62 3
1.89 3.42 4.34 2
1.66 3.9 5.15 3
2.4 3.19 3.1 2
2.15 3.27 3.55 1
1.72 3.62 5.16 1
1.5 4.11 7.1 1
1.45 4.46 7.35 4
4.96 3.54 1.77 1
1.75 3.87 4.55 1
1.51 4.22 6.18 1
1.66 3.62 5.6 1
2.64 3.08 2.83 1
1.82 3.54 4.35 1
1.44 4.13 7.92 1
3.04 3.18 2.42 1
2.85 3.21 2.62 2
2.62 3.3 2.77 3
1.66 3.66 5.77 1
1.94 3.44 4.14 1
3.85 3.4 2.02 1
1.21 6.38 14.67 4
1.98 3.36 3.98 1
4.11 3.31 1.97 1
1.95 3.33 4.12 1
1.59 3.96 5.89 1
1.63 3.72 5.79 1
2.6 3.21 2.8 1
1.53 4.14 6.39 3
1.35 5.0 9.13 4
2.21 3.27 3.43 1
2.24 3.29 3.35 1
2.05 3.38 3.78 1
2.03 3.34 3.74 1
1.34 4.93 9.29 1
1.56 3.94 6.17 2
3.73 3.35 2.02 1
1.59 3.83 5.81 3
1.95 3.43 3.9 3
1.22 6.13 15.33 1
2.29 3.3 3.22 3
1.71 3.79 4.88 4
1.54 4.06 6.5 2
1.56 4.07 6.1 2
1.26 5.71 12.8 2
1.32 5.4 9.75 4
1.73 3.6 5.2 4
1.26 5.88 12.08 1
1.98 3.56 3.78 1
1.97 3.43 3.96 1
1.68 3.73 5.33 1
2.7 3.33 2.64 2
3.09 3.37 2.33 2
2.03 3.38 3.82 1
1.89 3.63 4.13 2
2.92 3.37 2.45 1
1.48 4.38 7.01 2
2.96 3.39 2.42 1
1.8 3.62 4.53 2
1.7 3.8 4.99 3
1.16 8.0 17.67 4
1.79 3.85 4.36 3
4.42 3.77 1.79 4
1.35 5.08 8.84 3
3.35 3.49 2.16 1
1.67 3.97 4.99 2
4.2 3.42 1.95 1
1.24 6.08 12.97 1
1.64 3.84 5.64 1
1.49 4.26 7.55 2
6.52 3.98 1.56 2
1.46 4.35 7.72 1
1.91 3.57 4.1 1
1.26 5.58 12.88 3
1.73 3.68 5.08 1
1.74 3.62 5.12 1
1.28 5.83 10.3 2
1.57 4.06 6.27 1
2.06 3.21 4.04 1
1.67 3.89 5.48 3
1.67 3.72 5.75 2
1.51 4.16 7.33 3
1.28 5.88 11.5 4
2.72 3.18 2.78 2
2.03 3.37 3.97 3
1.69 3.68 5.42 1
1.32 5.27 10.21 1
5.83 4.0 1.61 2
2.39 3.4 3.11 3
3.58 3.43 2.13 1
1.23 6.5 13.5 4
1.7 3.88 5.3 3
2.85 3.22 2.65 2
3.06 3.42 2.39 2
1.28 6.0 11.33 1
1.84 3.5 4.77 5
1.58 4.16 6.12 3
2.01 3.48 3.97 2
1.39 4.69 9.25 2
5.84 3.72 1.67 1
2.04 3.42 3.9 2
1.29 5.92 11.42 1
1.7 3.82 5.32 1
2.22 3.29 3.59 4
2.51 3.12 3.13 2
1.74 3.65 5.22 1
1.8 3.78 4.61 2
2.03 3.55 3.81 2
3.25 3.25 2.37 1
1.55 4.14 6.58 5
5.55 3.76 1.68 1
1.29 5.79 11.58 5
2.14 3.31 3.71 3
1.52 4.31 6.76 1
2.78 3.24 2.71 1
1.94 3.35 4.42 4
1.76 3.72 5.01 1
1.18 7.58 16.92 2
2.59 3.29 2.88 1
1.4 4.98 8.17 2
2.16 3.33 3.62 1
3.32 3.32 2.29 3
1.63 3.87 6.12 2
3.29 3.31 2.32 1
1.34 5.3 9.38 5
2.17 3.28 3.68 2
4.8 3.87 1.75 1
1.81 3.5 4.99 1
1.36 5.18 8.92 2
3.32 3.38 2.27 1
5.01 3.88 1.72 2
2.17 3.41 3.53 3
3.03 3.33 2.45 1
1.27 5.92 12.33 1
2.18 3.37 3.52 1
1.69 3.64 5.83 1
2.39 3.38 3.08 1
4.2 3.66 1.91 1
1.26 6.25 11.5 2
1.24 6.29 13.42 3
2.02 3.42 3.92 2
1.65 3.92 5.5 1
2.08 3.38 3.82 3
2.59 3.26 2.9 1
1.64 3.95 5.68 1
2.16 3.51 3.45 1
1.22 6.67 14.0 1
1.32 5.2 9.7 1
2.9 3.1 2.6 1
1.37 4.84 8.46 3
1.22 6.16 14.17 2
1.3 5.46 10.17 3
2.39 3.24 3.2 3
1.27 5.92 12.5 2
2.08 3.5 3.66 1
2.36 3.48 3.04 1
1.25 5.8 14.33 1
1.31 5.5 9.54 2
2.2 3.3 3.5 3
1.16 7.75 17.17 1
1.74 3.57 5.34 2
1.89 3.45 4.32 2
2.82 3.28 2.56 2
3.45 3.29 2.22 1
3.22 3.42 2.29 2
1.33 5.21 10.42 4
2.36 3.31 3.2 3
4.38 3.78 1.82 4
1.69 3.75 5.52 2
1.2 7.03 15.5 1
1.18 7.62 17.08 2
1.86 3.45 4.77 3
2.83 3.23 2.66 1
3.3 3.33 2.29 1
1.98 3.5 4.03 2
1.7 3.83 5.22 3
7.49 4.5 1.46 2
1.28 5.75 12.42 1
2.12 3.28 3.79 1
2.29 3.23 3.42 1
1.22 6.88 13.0 1
1.28 5.75 11.33 2
2.24 3.33 3.38 2
1.25 6.13 12.83 2
2.09 3.31 3.78 1
2.4 3.24 3.12 2
1.24 6.29 13.33 2
2.1 3.18 3.97 1
1.41 4.84 8.12 2
2.04 3.4 3.9 1
1.42 4.73 7.88 4
5.5 3.98 1.64 2
1.83 3.52 4.68 2
2.09 3.47 3.62 2
1.95 3.33 4.37 2
1.99 3.4 4.05 1
1.65 3.93 5.46 1
2.56 3.38 2.8 1
1.66 3.76 5.72 3
2.52 3.22 2.98 1
1.23 6.28 13.5 1
2.18 3.38 3.48 2
1.93 3.43 4.35 1
1.52 4.19 6.88 4
5.0 3.87 1.71 2
1.7 3.77 5.33 1
2.45 3.34 2.98 1
2.01 3.43 3.92 2
1.69 3.88 5.13 2
1.84 3.57 4.56 1
2.45 3.13 3.2 1
1.45 4.41 7.96 2
2.5 3.18 3.07 2
1.38 5.09 7.83 3
2.33 3.42 3.1 1
2.07 3.26 3.97 2
1.82 3.57 4.68 2
1.2 7.12 14.83 2
1.25 6.0 13.17 4
